Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Average_Temperature,Temperature_Range,Rain_Status,Rain_Category,Year,Month,Day,Month_Name,Season
2024-02-22,21.5,35.9,0.0,13.6,8.0,N,57.0,13:34,27.2,45,7,N,22,1009.1,35.7,32,2.0,N,24,1003.7,28.7,14.399999999999999,No Rain,No Rain,2024,2,22,February,Summer
2024-02-23,17.4,21.9,3.8,12.0,1.7,S,39.0,18:30,19.0,56,7,SW,9,1010.6,20.4,48,7.0,S,17,1013.0,19.65,4.5,Rainy,Moderate,2024,2,23,February,Summer
2024-02-24,16.0,20.3,0.0,7.4,8.6,SSW,31.0,15:40,17.0,53,7,SSE,13,1020.2,19.9,55,1.0,SSW,15,1019.6,18.15,4.300000000000001,No Rain,No Rain,2024,2,24,February,Summer
2024-02-25,11.7,30.9,0.0,6.2,9.5,S,41.0,19:31,17.5,68,4,N,11,1015.9,30.6,27,7.0,SSW,9,1012.5,21.299999999999997,19.2,No Rain,No Rain,2024,2,25,February,Summer
2024-02-26,16.7,20.4,0.0,7.8,6.1,SSW,37.0,14:20,17.9,65,7,S,9,1018.9,19.7,56,7.0,SSW,17,1019.4,18.549999999999997,3.6999999999999993,No Rain,No Rain,2024,2,26,February,Summer
2024-02-27,12.9,27.4,0.0,6.4,10.9,,,,16.7,70,1,NE,7,1016.1,25.7,53,1.0,SW,11,1012.6,20.15,14.499999999999998,No Rain,No Rain,2024,2,27,February,Summer
2024-02-28,16.6,36.3,0.0,8.8,5.3,NNE,50.0,16:43,23.5,51,3,N,11,1011.6,31.4,40,6.0,NNE,13,1008.4,26.45,19.699999999999996,No Rain,No Rain,2024,2,28,February,Summer
2024-02-29,18.5,24.7,0.0,10.0,5.6,SSW,28.0,14:35,19.0,71,7,WSW,13,1014.0,23.2,55,3.0,SSW,15,1014.6,21.6,6.199999999999999,No Rain,No Rain,2024,2,29,February,Summer
2024-01-03,14.4,28.1,0.0,5.2,11.0,SSW,37.0,16:13,18.0,72,3,NE,2,1015.1,26.5,49,3.0,SSW,9,1011.7,21.25,13.700000000000001,No Rain,No Rain,2024,1,3,January,Summer
2024-02-03,15.9,20.7,0.0,5.6,8.1,S,35.0,13:08,18.7,67,3,S,11,1017.1,19.4,50,7.0,S,19,1018.6,18.3,4.799999999999999,No Rain,No Rain,2024,2,3,February,Summer
